No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor
157;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1986;LAYR;31;Miss Glam Sutomo;4;500000;0;;
158;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1986;LAYR;32;Miss Glam Pasaman Barat;4;500000;0;;
159;2301;CV. ANUGERAH SEKAWAN ABADI - PPN (PDG);1986;LAYR;34;Miss Glam Duri;4;500000;0;;
160;3372;CV. ANUGERAH WAHYUDI SEJAHTERA (PSB);131;VEET;32;Miss Glam Pasaman Barat;4;500000;0;;
161;3673;CV. ANUGRAH JAYA MANDIRI - PPN (BPP);691;CLEAN FACE;44;Miss Glam Balikpapan;1;500000;0;;
162;3673;CV. ANUGRAH JAYA MANDIRI - PPN (BPP);130;PURBASARI;44;Miss Glam Balikpapan;1;500000;0;;
163;2851;CV. ANUGRAH LESTARI - PPN (MDN);474;USHAS;19;Miss Glam Medan;2;500000;0;;
164;2851;CV. ANUGRAH LESTARI - PPN (MDN);474;USHAS;29;Miss Glam Rantau Prapat;2;500000;0;;
165;2851;CV. ANUGRAH LESTARI - PPN (MDN);474;USHAS;33;Miss Glam Halat;2;500000;0;;
166;2851;CV. ANUGRAH LESTARI - PPN (MDN);474;USHAS;36;Miss Glam Dr. Mansyur;2;500000;0;;
167;2851;CV. ANUGRAH LESTARI - PPN (MDN);474;USHAS;38;Miss Glam P. Sidimpuan;2;500000;0;;
168;2851;CV. ANUGRAH LESTARI - PPN (MDN);474;USHAS;39;Miss Glam Aceh;2;500000;0;;
169;3475;CV. BAGUS SUMBER REZEKI DISTRIBUSINDO -- PPN (MDN);387;SALSA;19;Miss Glam Medan;2;500000;0;;
170;3475;CV. BAGUS SUMBER REZEKI DISTRIBUSINDO -- PPN (MDN);387;SALSA;29;Miss Glam Rantau Prapat;2;500000;0;;
171;3475;CV. BAGUS SUMBER REZEKI DISTRIBUSINDO -- PPN (MDN);387;SALSA;33;Miss Glam Halat;2;500000;0;;
172;3475;CV. BAGUS SUMBER REZEKI DISTRIBUSINDO -- PPN (MDN);387;SALSA;36;Miss Glam Dr. Mansyur;2;500000;0;;
173;3475;CV. BAGUS SUMBER REZEKI DISTRIBUSINDO -- PPN (MDN);387;SALSA;38;Miss Glam P. Sidimpuan;2;500000;0;;
174;3654;CV. BEAUTY PRATAMA - PPN - (BPP);1114;DORSKIN;44;Miss Glam Balikpapan;3;500000;0;;
175;3654;CV. BEAUTY PRATAMA - PPN - (BPP);2119;GLOOWBI;44;Miss Glam Balikpapan;3;500000;0;;
176;3654;CV. BEAUTY PRATAMA - PPN - (BPP);2247;JUDYDOLL;44;Miss Glam Balikpapan;2;500000;0;;
177;3654;CV. BEAUTY PRATAMA - PPN - (BPP);22;SCARLETT;44;Miss Glam Balikpapan;1;500000;0;;
178;3654;CV. BEAUTY PRATAMA - PPN - (BPP);287;STUDIO TROPIK;44;Miss Glam Balikpapan;3;500000;0;;
179;2476;CV. BERKAT SEJAHTERA ABADI - PPN (MDN);163;VIVA;19;Miss Glam Medan;2;500000;0;;
180;2476;CV. BERKAT SEJAHTERA ABADI - PPN (MDN);163;VIVA;29;Miss Glam Rantau Prapat;2;500000;0;;
181;2476;CV. BERKAT SEJAHTERA ABADI - PPN (MDN);163;VIVA;33;Miss Glam Halat;2;500000;0;;
182;2476;CV. BERKAT SEJAHTERA ABADI - PPN (MDN);163;VIVA;36;Miss Glam Dr. Mansyur;2;500000;0;;
183;2476;CV. BERKAT SEJAHTERA ABADI - PPN (MDN);163;VIVA;38;Miss Glam P. Sidimpuan;2;500000;0;;
184;3725;CV. BERLIAN SUKSES RAYA - PPN (BPP);497;MAMAYA;44;Miss Glam Balikpapan;1;500000;0;;
185;3476;CV. BINTANG PRIMA PERKASA (ACEH);368;ENCHANTEUR;39;Miss Glam Aceh;2;500000;0;;
186;3476;CV. BINTANG PRIMA PERKASA (ACEH);136;SAFI;39;Miss Glam Aceh;2;500000;0;;
187;3476;CV. BINTANG PRIMA PERKASA (ACEH);152;SUMBER AYU;39;Miss Glam Aceh;4;500000;0;;
188;3476;CV. BINTANG PRIMA PERKASA (ACEH);366;VITALIS;39;Miss Glam Aceh;2;500000;0;;
189;3476;CV. BINTANG PRIMA PERKASA (ACEH);163;VIVA;39;Miss Glam Aceh;2;500000;0;;
190;3003;CV. BINTANG UTAMA - PPN (TBH);914;PINK;25;Miss Glam Tembilahan;1;500000;0;;
191;3003;CV. BINTANG UTAMA - PPN (TBH);2329;PINK SKIN;25;Miss Glam Tembilahan;4;500000;0;;
192;3003;CV. BINTANG UTAMA - PPN (TBH);144;SHINZUI;25;Miss Glam Tembilahan;4;500000;0;;
193;3672;CV. BORNEO RETAIL KOSMETIK - PPN - (BPP);1296;ELVICTO;44;Miss Glam Balikpapan;3;500000;0;;
194;3672;CV. BORNEO RETAIL KOSMETIK - PPN - (BPP);1545;ISWHITE;44;Miss Glam Balikpapan;3;500000;0;;
195;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);38;AZARINE;18;Miss Glam Bengkulu;1;500000;0;;
196;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);1434;BONAVIE;18;Miss Glam Bengkulu;3;500000;0;;
197;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);1434;BONAVIE;26;Miss Glam Lubuk Linggau;3;500000;0;;
198;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);423;CARESO;18;Miss Glam Bengkulu;2;500000;0;;
199;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);1160;CBD;18;Miss Glam Bengkulu;1;500000;0;;
200;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);1165;ELFORMULA;18;Miss Glam Bengkulu;1;500000;0;;
201;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);778;ESENSES;18;Miss Glam Bengkulu;1;500000;0;;
202;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);70;FANBO;18;Miss Glam Bengkulu;1;500000;0;;
203;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);1544;GATSBY;18;Miss Glam Bengkulu;2;500000;0;;
204;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);1198;GRACE AND GLOW;18;Miss Glam Bengkulu;1;500000;0;;
205;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);1198;GRACE AND GLOW;26;Miss Glam Lubuk Linggau;1;500000;0;;
206;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);80;HERBORIST;18;Miss Glam Bengkulu;1;500000;0;;
207;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);325;HIMALAYA;18;Miss Glam Bengkulu;5;500000;0;;
208;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);83;IMPLORA;18;Miss Glam Bengkulu;1;500000;0;;
209;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);1524;LAB ON HAIR;18;Miss Glam Bengkulu;1;500000;0;;
210;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);1524;LAB ON HAIR;26;Miss Glam Lubuk Linggau;1;500000;0;;
211;2392;CV. BUMI ANGKASA SEJAHTERA  - PPN (BKL);1265;LILITH & EVE;18;Miss Glam Bengkulu;1;500000;0;;
